Kontonummer;Buchungstag;Wertstellung;Auftraggeber/Empfänger;Buchungstext;VWZ1;VWZ2;VWZ3;VWZ4;VWZ5;VWZ6;VWZ7;VWZ8;VWZ9;VWZ10;VWZ11;VWZ12;VWZ13;VWZ14;Betrag;Kontostand;Währung
0000000000;28.02.2015;28.02.2015;Creditor 1;"Internet-Euro-Überweisung";BIC:XXXXXXXX000;IBAN:DE00000000000000000000;Datum: 28.02.15 Zeit: 12:11;KD 0000000001 TAN 123456;RE 000000000;10112233;;;;;;;;;-114,80;15.755,56;EUR
0000000000;28.02.2015;28.02.2015;Creditor 2;"SEPA-Basislastschrift";ELV00000000 26.02 14.13 ME0;Z00000000000000000000;;;;;;;;;;;;;-129,37;15.870,36;EUR
0000000000;27.02.2015;27.02.2015;Creditor 3;"Überweisungs-Gutschrift";PROJEKT X / RECHNUNG 00;022;;;;;;;;;;;;;12.000,00;15.999,73;EUR
0000000000;26.02.2015;26.02.2015;Debitor;"Dauer-Euro-Überweisung";Gehalt;Dauerauftrag:          4;bnke2eid-000000000012;;;;;;;;;;;;-3.976,09;3.999,73;EUR
0000000000;25.02.2015;25.02.2015;Creditor 4;"POS ec-cash EMV";EC 12345678 000000000012345;BE000000000000000000001234;;;;;;;;;;;;;-1.059,00;7.950,87;EUR
0000000000;20.02.2015;20.02.2015;;"GLS BankCard Gebühr";BankCard Jahresgebühr 2015;Karte-Nr: 000000000000;;;;;;;;;;;;;-17,85;-1.531,90;EUR
0000000000;16.02.2015;16.02.2015;Creditor 5;"Kartenzahlung";Kartenzahlung girocard;Creditor;0000000000000000000012345678;;;;;;;;;;;;-39,40;-2.024,60;EUR
0000000000;30.01.2015;30.01.2015;;"Kontoführung";Abrechnung vom  30.01.2015;;;;;;;;;;;;;;-8,81;872,56;EUR
0000000000;30.01.2015;30.01.2015;Creditor 6;"HBCI-Euro-Überweisung";BIC:XXXXXXXXXXX;IBAN:DE00000000000000000000;Datum: 30.01.15 Zeit: 14:41;KD 12345678;0000000000 Gewerbesteue;r 2015;;;;;;;;;-5.801,00;881,37;EUR
0000000000;30.01.2015;30.01.2015;;"Zinsen/Kontoführung";Abrechnung vom  30.01.2015;;;;;;;;;;;;;;-7,38;5.130,83;EUR
